,Title,Writer(s),Date,Link
152,"Wainright grows, mellows with age","David Patrick Stearns INQUIRER MUSIC CRITIC. 
",2013-04-18,proquest.com/docview/1328432086/fulltext/3D74CA0480D4487CPQ/50
153,Howard a scratch with a sore groin,"Narducci, Marc. 
",2013-04-20,proquest.com/docview/1334955277/fulltext/F63729B6B41D45E9PQ/36
154,Marijuana facility nears launch date: Seeds set to be planted for first South Jersey dispensary.,"Hefler, Jan. 
",2013-04-21,proquest.com/docview/1336176139/fulltext/D7333FFB2AF43A2PQ/4
155,"Two smart, tight TV dramas will keep viewers guessing","Derakhshani, Tirdad. 
",2013-04-21,proquest.com/docview/1336176176/fulltext/D7333FFB2AF43A2PQ/56
156,Gosnell trial set to resume after an illness,"Slobodzian, Joseph A. 
",2013-04-23,proquest.com/docview/1347674128/fulltext/A3F3081C983C4152PQ/22
157,10 charged with heroin sales in Chester County: Investigation follows a 162 percent increase in deaths linked to the drug last year.,"Schaefer, Mari A. 
",2013-04-23,proquest.com/docview/1347671913/fulltext/A3F3081C983C4152PQ/25
158,Williams blasts Nutter over his D.A.-budget plan,"Graham, Troy. 
",2013-04-23,proquest.com/docview/1347674124/fulltext/A3F3081C983C4152PQ/28
159,"Woman, boyfriend fatally shot in auto: The man had thrown himself in front of an 11-year-old in the back seat to save the child. The killer remains on the loose.","Simmons, Karie; LinS, Jennifer. 
",2013-04-25,proquest.com/docview/1346017082/fulltext/585C80468DF44588PQ/18
160,"With surprises in the trial, could Gosnell be acquitted?","Heller, Karen. 
",2013-04-25,proquest.com/docview/1346017080/fulltext/585C80468DF44588PQ/23
161,Delco youth alcohol use studied,"Giordano, Rita. 
",2013-04-25,proquest.com/docview/1346017094/fulltext/585C80468DF44588PQ/26
162,GEORGE JONES 1931-2013: Superstar of classic country music,"DeLuca, Dan. 
",2013-04-27,proquest.com/docview/1346673583/fulltext/D4273CFA2713417EPQ/1
163,Will Ruiz be the missing piece?,"Brookover, Bob. 
",2013-04-28,proquest.com/docview/1346673698/fulltext/7E3EA340B362457DPQ/54
164,Citi Sweep: Dropped pop-up triggers Phils rally as Hamels gets first win,"Gelb, Matt. 
",2013-04-29,proquest.com/docview/1346673557/fulltext/1386827016B140CAPQ/24
165,Savage's defense dismisses enterprise: Closing arguments state he wasn't the head of a large drug organization.,"Abdur-Rahman, Sulaiman. 
",2013-05-01,proquest.com/docview/1347408073/fulltext/DDC38138B6AE4F86PQ/34
166,"Gosnell jury studies codefendant: All its questions concerned Eileen O'Neill, charged with racketeering and conspiracy.","Slobodzian, Joseph A. 
",2013-05-02,proquest.com/docview/1347674080/fulltext/5B0ACBA435143C9PQ/24
167,Gosnell jury again appears to focus on codefendant: The panel asked to review testimony from a prosecution witness that related to Eileen O'Neill.,"Slobodzian, Joseph A. 
",2013-05-03,proquest.com/docview/1348168777/fulltext/B312E07F72C0456DPQ/32
168,"15 years for gang leader: The head of the Camden drug operation, 29, admitted he led the network.","Giordano, Rita. 
",2013-05-04,proquest.com/docview/1348697974/fulltext/ACAEC0033224F84PQ/8
169,"Gosnell jury to resume Monday: On Friday, it seemed to turn its attention from Eileen O'Neill and toward the abortion doctor.","Slobodzian, Joseph A. 
",2013-05-04,proquest.com/docview/1348697803/fulltext/ACAEC0033224F84PQ/13
170,Two pot centers could open: Woodbridge site could join one in Egg Harbor as a dispensary of medical marijuana in New Jersey.,"Hefler, Jan. 
",2013-05-04,proquest.com/docview/1348697989/fulltext/ACAEC0033224F84PQ/16
171,"Man gets 23 years for drugs, guns","Giordano, Rita. 
",2013-05-04,proquest.com/docview/1348697986/fulltext/ACAEC0033224F84PQ/18
172,Frustration piles up: The men are held accountable for their charges.,"Dribben, Melissa. 
",2013-05-06,proquest.com/docview/1348698127/fulltext/F371AE5D0996467EPQ/4
173,Pa.'s top cop stepped into tough cases,"Angela Couloumbis INQUIRER HARRISBURG BUREAU. 
",2013-05-06,proquest.com/docview/1348698129/fulltext/F371AE5D0996467EPQ/5
174,SideShow: YOUR DAILY DOSE OF GOSSIP,,2013-05-06,proquest.com/docview/1348698152/fulltext/F371AE5D0996467EPQ/27
175,Facing a test of faith: Obedience drills to reveal progress - or failure.,"Dribben, Melissa. 
",2013-05-07,proquest.com/docview/1348979857/fulltext/97B10EDB083048BFPQ/4
176,"Gosnell charges explained: Responding to the jury, the judge reviewed murder and manslaughter.","Slobodzian, Joseph A. 
",2013-05-07,proquest.com/docview/1348979867/fulltext/97B10EDB083048BFPQ/27
177,Medical office is called a madhouse: Horsham doctor Norman Werther is charged with supplying six networks that dealt prescription drugs.,"Martin, John P. 
",2013-05-08,proquest.com/docview/1349533675/fulltext/929848E9ABB34C6CPQ/16
178,Gosnell jury has long way to go: A judge told it that 227 waiting-period counts must be weighed separately.,"Slobodzian, Joseph A. 
",2013-05-10,proquest.com/docview/1349805064/fulltext/96B520945A784251PQ/26
179,"'Drained,' reports Gosnell jury","Slobodzian, Joseph A. 
",2013-05-11,proquest.com/docview/1350262708/fulltext/C6D3F0D484484A9EPQ/16
180,Temple rower turning misfortune into success,"Jensen, Mike. 
",2013-05-11,proquest.com/docview/1350262132/fulltext/C6D3F0D484484A9EPQ/42
181,5 arrested in Burlco brawl; 2 police hurt,"Lai, Jonathan. 
",2013-05-12,proquest.com/docview/1350262672/fulltext/F72CF43881D4B5EPQ/17
182,His storybook start led only to a tragic ending: The long fade of '71 U.S. Open contender Jim Simons.,"Fitzpatrick, Frank. 
",2013-05-12,proquest.com/docview/1350262316/fulltext/F72CF43881D4B5EPQ/33
183,"Gosnell Guilty of Murder: Abortion doctor convicted of killing 3 babies born alive. With possible death sentence, penalty phase to start next week.","Slobodzian, Joseph A. 
",2013-05-14,proquest.com/docview/1350649117/fulltext/D50F329045344A4PQ/1
184,Endo hit hard by an FDA ruling: The agency rejected Endo's request that it deny approval to generic versions of its Opana ER opioid painkiller.,"Sell, David. 
",2013-05-14,proquest.com/docview/1350649132/fulltext/D50F329045344A4PQ/8
185,A 'most violent' gets 10-year sentence,"Giordano, Rita. 
",2013-05-14,proquest.com/docview/1350649299/fulltext/D50F329045344A4PQ/28
186,Trial begins in Bucks musician's shotgun death: A lawyer said the defendant was not there and didn't order Danny DeGennaro killed.,"Palmer, Chris. 
",2013-05-15,proquest.com/docview/1351391606/fulltext/6046B52BAD324F47PQ/32
187,Rap gets football recruit dropped by Michigan St.: Downingtown East receiver Jay Harris' scholarship was pulled after videos were seen.,"Breen, Matt. 
",2013-05-15,proquest.com/docview/1351391441/fulltext/6046B52BAD324F47PQ/58
188,"Gosnell jurors relieved, sure of decision: Looking back on a grim case With deal, judge sentences Gosnell to three consecutive life terms.","Slobodzian, Joseph A. 
",2013-05-16,proquest.com/docview/1352168409/fulltext/687917CED45048D4PQ/3
189,Delco doctor charged with selling drugs: Lenwood Boyer Wert of Lansdowne was a sting target.,"Boccella, Kathy. 
",2013-05-16,proquest.com/docview/1352174912/fulltext/687917CED45048D4PQ/18
190,South Street slaying arrest: Accused attacker apparently dropped his phone during the robbery and shooting.,"Newall, Mike. 
",2013-05-16,proquest.com/docview/1352168425/fulltext/687917CED45048D4PQ/22
191,SideShow: YOUR DAILY DOSE OF GOSSIP,,2013-05-16,proquest.com/docview/1352174902/fulltext/687917CED45048D4PQ/59
192,Sixers: No comment on suit against Young,"Mitchell, John N. 
",2013-05-16,proquest.com/docview/1352174933/fulltext/687917CED45048D4PQ/67
193,"To Kelly, it's about time: New coach sees benefits in shorter practice days.","McLane, Jeff. 
",2013-05-19,proquest.com/docview/1353194627/fulltext/BD650223AF614D4FPQ/48
194,Ruiz hurt; Howard's knee aches,"Gelb, Matt; NarducciS, Marc. 
",2013-05-20,proquest.com/docview/1353195688/fulltext/1C6C935191E9445EPQ/23
195,"The spy game: Freeze-dried rats, poison umbrellas, and other tricks from ""The Secret World of Espionage"" are on display at the Franklin Institute.","Derakhshani, Tirdad. 
",2013-05-21,proquest.com/docview/1353402770/fulltext/A1245B071D8649F3PQ/35
196,"Officer arrested in FBI sting: Phila. narcotics unit veteran is accused of stealing money, drugs from a suspected dealer.","Smith, Sarah; FazlollahS, Mark. 
",2013-05-23,proquest.com/docview/1354512704/fulltext/D1540A5868C347B5PQ/16
197,"Part III, still hanging, not over yet","Steven Rea INQUIRER MOVIE CRITIC. 
",2013-05-23,proquest.com/docview/1354511111/fulltext/D1540A5868C347B5PQ/43
198,Medical marijuana is no bar to transplants in bill,"Hefler, Jan. 
",2013-05-24,proquest.com/docview/1355174309/fulltext/5CDC8F38C2D94136PQ/14
199,Montco DA announces $15 million pot bust: The drugs came from California. Eight people have been charged.,"Davis, Carolyn. 
",2013-05-24,proquest.com/docview/1355174286/fulltext/5CDC8F38C2D94136PQ/20
200,SIDE SHOW: YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2013-05-27,proquest.com/docview/1357151820/fulltext/3A22C1CE06394B2DPQ/32
201,New local ATF director takes aim at illegal guns,"Martin, John P. 
",2013-05-28,proquest.com/docview/1357152061/fulltext/C0504895E669447BPQ/10
202,Customs agent finds drug hidden in shoes,"Vargas, Claudia; GambardelloS, Joseph A. 
",2013-05-31,proquest.com/docview/1362266818/fulltext/1D890CB868604EEBPQ/9
203,Final guilty plea in Piazza killings,"Slobodzian, Joseph A. 
",2013-05-31,proquest.com/docview/1362263177/fulltext/1D890CB868604EEBPQ/16
204,Cocaine is found in traveler's shoes: Camden woman returning from Jamaica was stopped at Philadelphia International.,"Vargas, Claudia; GambardelloS, Joseph A. 
",2013-05-31,proquest.com/docview/1362261897/fulltext/1D890CB868604EEBPQ/21
205,SideShow: YOUR DAILY DOSE OF GOSSIP,,2013-06-01,proquest.com/docview/1362263205/fulltext/80BF0D6F73C9404APQ/25
206,"Glouco officials make new appeal in '06 killing: A mother of two, addicted and on Camden's streets, was shot execution-style behind a firehouse.","Boyer, Barbara. 
",2013-06-05,proquest.com/docview/1364890797/fulltext/33ADAB4C70004C3CPQ/17
207,Ex-officers face shakedown cases: They are accused of taking money from drug suspects.,"Martin, John P. 
",2013-06-05,proquest.com/docview/1364888760/fulltext/33ADAB4C70004C3CPQ/28
208,"Being the latest of her selves: ""We Can't Stop"" is the hot new tune from the hot new Miley.","Allie Caren. 
",2013-06-05,proquest.com/docview/1364888775/fulltext/33ADAB4C70004C3CPQ/47
209,Pot crop OKd for S. Jersey: The state Health Department gave a permit to a dispensary in Egg Harbor Township.,"Hefler, Jan. 
",2013-06-07,proquest.com/docview/1365707610/fulltext/63AB6B6A8B3E4EBEPQ/20
210,Sifting Through Site of Tragedy: Forensic study begins,"Lai, Jonathan. 
",2013-06-10,proquest.com/docview/1366126132/fulltext/81E4544D0F764DD8PQ/4
211,"Grand jury, city to study collapse: The district attorney and the City Council president announced investigations.","Graham, Troy; SlobodzianS, Joseph A. 
",2013-06-11,proquest.com/docview/1366427894/fulltext/A1C249CB07A4809PQ/3
212,A.C. public art project endures tide of criticism: Necessity is in the eye of the beholder.,"Rosenberg, Amy S. 
",2013-06-12,proquest.com/docview/1366720340/fulltext/E4194EB6234ADAPQ/1
213,Contractor: I did not see demolition: His lawyer said the excavator was to remove only debris on the day of the collapse.,"Graham, Troy; LinS, Jennifer. 
",2013-06-12,proquest.com/docview/1366720391/fulltext/E4194EB6234ADAPQ/10
214,"Doctor, 74, guilty in pill-mill operation: Norman Werther wrote prescriptions for oxycodone pills that dealers sold on the street.","Martin, John P. 
",2013-06-12,proquest.com/docview/1366720351/fulltext/E4194EB6234ADAPQ/21
215,Apocalypse crashes hot Hollywood party,"Steven Rea INQUIRER MOVIE CRITIC. 
",2013-06-12,proquest.com/docview/1366720368/fulltext/E4194EB6234ADAPQ/37
216,Man is sought in killing of stepfather in Chesco,"Schaefer, Mari A. 
",2013-06-15,proquest.com/docview/1368274652/fulltext/D627BC46EABD4EF4PQ/16
217,Mixed drink in Wash. state: Privatization brought convenience and higher liquor prices.,"Steele, Allison. 
",2013-06-18,proquest.com/docview/1369541591/fulltext/71B608A0FCA04AA5PQ/2
218,Guilty plea in 1990 killing of teen,"Urgo, Jacqueline L. 
",2013-06-21,proquest.com/docview/1370246439/fulltext/EFDCC9C7D9464D35PQ/14
219,"Man who drove while high gets prison in deaths of 2: Before a sentence of six to 12 years was imposed, parents of the victims spoke.","Davis, Carolyn. 
",2013-06-21,proquest.com/docview/1370246416/fulltext/EFDCC9C7D9464D35PQ/24
220,Mother gets 3-6 years for tot's heroin death,"Schaefer, Mari A. 
",2013-06-21,proquest.com/docview/1370246426/fulltext/EFDCC9C7D9464D35PQ/25
221,"Flowers and flux: The maddening, marvelous garden evolves - now there's food in the backyard, and a big redbud tree - and teaches us serenity and joy.","Smith, Virginia A. 
",2013-06-21,proquest.com/docview/1370246431/fulltext/EFDCC9C7D9464D35PQ/48
222,Teenage burglars to the stars,"Steven Rea INQUIRER MOVIE CRITIC. 
",2013-06-21,proquest.com/docview/1370246355/fulltext/EFDCC9C7D9464D35PQ/53
223,Man gets life in hit-and-run: Delco man was without a license when he killed two teens in 2011.,"Schaefer, Mari A. 
",2013-06-22,proquest.com/docview/1370765653/fulltext/CD944067316049DAPQ/14
224,"Ashbee remains an inspiration: In Bruins territory, doctor is a Flyers fan at heart.","Carchidi, Sam. 
",2013-06-22,proquest.com/docview/1370765658/fulltext/CD944067316049DAPQ/28
225,"Catching low-level criminals, with DNA: Bensalem police have compiled a database of genetic material given voluntarily by suspects. It's one of just 9 in the country.","Finley, Ben. 
",2013-06-23,proquest.com/docview/1370765711/fulltext/EBA1F71CD708480EPQ/4
226,"Marijuana for Kids?: New Jersey's medical-marijuana program doesn't account for patients like Vivian Wilson, 2, who suffers from a rare form of epilepsy.","Hefler, Jan. 
",2013-06-23,proquest.com/docview/1370765705/fulltext/EBA1F71CD708480EPQ/6
227,Accidental shooting was a wake-up call,"Lai, Jonathan. 
",2013-06-24,proquest.com/docview/1370765739/fulltext/EE08C8148B848C1PQ/1
228,"Malcolm M. Drummond, 69","Lin, Jennifer. 
",2013-06-24,proquest.com/docview/1370765737/fulltext/EE08C8148B848C1PQ/15
229,"Firefly Fest scores again: The weekend Delaware music gathering drew 60,000 a day.","Dan DeLuca INQUIRER MUSIC CRITIC. 
",2013-06-24,proquest.com/docview/1370765745/fulltext/EE08C8148B848C1PQ/20
230,Decision Christie's on pot Rx for youth,"Hefler, Jan. 
",2013-06-25,proquest.com/docview/1371017495/fulltext/EEAA7FE0F05845B4PQ/3
231,Lakeside's New Alums Overcame Troubles: From bad to grad,"Davis, Carolyn. 
",2013-06-25,proquest.com/docview/1371017567/fulltext/EEAA7FE0F05845B4PQ/12
232,"State lawmakers OK a raft of bills: Legislature's pre-vacation docket includes action on guns, porn, logging, scrap metal, many more.","Matt Katz INQUIRER TRENTON BUREAU. 
",2013-06-25,proquest.com/docview/1371017511/fulltext/EEAA7FE0F05845B4PQ/16
233,"Work resumes at site of collapse: Demolition got underway again at 22d and Market, police on hand in case evidence turned up.","Graham, Troy. 
",2013-06-25,proquest.com/docview/1371017531/fulltext/EEAA7FE0F05845B4PQ/18
234,Medicinal pot for children up to Christie: Assembly passed bill to make it easier for the severely sick to use the drug.,"Hefler, Jan. 
",2013-06-25,proquest.com/docview/1371017524/fulltext/EEAA7FE0F05845B4PQ/22
235,"Gosnell rejects drug plea deal: The move surprised even his attorney, who said he did not know the doctor's reason.","Slobodzian, Joseph A. 
",2013-06-27,proquest.com/docview/1371927734/fulltext/B8BC9FF2B3AA48F2PQ/11
236,Lawyer: Benschop is made scapegoat,"Warner, Bob. 
",2013-06-27,proquest.com/docview/1371927879/fulltext/B8BC9FF2B3AA48F2PQ/14
237,"`Truly a public health crisis': Since 2006, the United States has had chronic shortages of medicines to treat cancer, infections, cardiac arrest, and other ailments. And the human toll is rising.","McCullough, Marie. 
",2013-06-30,proquest.com/docview/1372798028/fulltext/45C89FAE3EB64917PQ/46
238,"Glouco enters the era of no home jail: To cut costs, inmates will now be housed in jails in other other counties. A lawsuit is pending.","Seidman, Andrew. 
",2013-07-01,proquest.com/docview/1372797988/fulltext/41D821FB36B3404BPQ/7
239,Painkiller deaths spike among women: The rate for those 45 to 54 in 2010 was more than five times that of 1999. The industry looms large locally.,"Sell, David. 
",2013-07-03,proquest.com/docview/1377768613/fulltext/DFBE01B830AE45A6PQ/6
240,Gosnell to take plea in federal drug-sales case,"Slobodzian, Joseph A. 
",2013-07-03,proquest.com/docview/1377770376/fulltext/DFBE01B830AE45A6PQ/12
